BIBTEXKEY,author_first,author_year,citation,study,summarized_in,pub_year,fig_table,age,age_units,age_mos,age_grp_rog,binoc_monoc,eye,n_participants,distance_cm,start_card_cyc_deg,mean_acuity_cyc_deg,lower_limit_cyc_deg,closest_card_cyc_deg,upper_limit_cyc_deg,sd,sd_units,country,card_type
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_01,NA,NA,,0.5,binoc,NA,17,38,0.3,0.66,0.27,0.22,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_01,NA,NA,,2,binoc,NA,9,38,0.3,2.02,0.23,0.22,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_01,NA,NA,,3,binoc,NA,21,38,0.44,3.89,1.59,1.1,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_01,NA,NA,,4,binoc,NA,25,38,0.44,5.48,2.14,1.7,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_01,NA,NA,,6,binoc,NA,30,38,0.44,7.44,3.38,3.1,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_01,NA,NA,,8,binoc,NA,34,55,1.3,9.81,5.1,3.1,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_01,NA,NA,,10,binoc,NA,35,55,1.3,11.59,6.05,4.7,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_01,NA,NA,,12,binoc,NA,40,55,1.3,11.08,4.13,3.1,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_01,NA,NA,,14,binoc,NA,34,55,1.3,13.04,5.63,4.7,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_01,NA,NA,,16,binoc,NA,41,55,1.3,13.08,5.91,4.7,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_01,NA,NA,,18,binoc,NA,35,55,1.3,12.39,5.1,4.7,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_01,NA,NA,,20,binoc,NA,37,55,2.4,13.81,6.6,4.7,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_01,NA,NA,,22,binoc,NA,36,55,2.4,14.76,7.68,6.4,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_01,NA,NA,,24,binoc,NA,44,55,2.4,14.64,6.2,4.7,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_01,NA,NA,,26,binoc,NA,37,55,2.4,16.66,8.92,6.4,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_01,NA,NA,,28,binoc,NA,42,55,2.4,15.28,7.25,6.4,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_01,NA,NA,,30,binoc,NA,35,55,2.4,17.24,8.61,6.4,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_01,NA,NA,,32,binoc,NA,25,55,2.4,17.36,9.96,6.4,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_01,NA,NA,,34,binoc,NA,37,55,2.4,19.19,9.5,6.4,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_01,NA,NA,,36,binoc,NA,32,55,2.4,17.82,7.12,6.4,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_02,NA,NA,,2,monoc,NA,8,38,0.44,2.31,0.42,0.6,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_02,NA,NA,,3,monoc,NA,21,38,0.44,3.09,1.18,1.1,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_02,NA,NA,,4,monoc,NA,25,38,0.44,4.15,1.57,2.2,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_02,NA,NA,,6,monoc,NA,30,38,0.44,7.18,2.78,2.2,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_02,NA,NA,,8,monoc,NA,34,55,1.3,8.31,4.31,3.2,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_02,NA,NA,,10,monoc,NA,35,55,1.3,10.88,4.26,3.2,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_02,NA,NA,,12,monoc,NA,40,55,1.3,9.82,4,3.2,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_02,NA,NA,,14,monoc,NA,34,55,1.3,10.35,4.82,3.2,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_02,NA,NA,,16,monoc,NA,41,55,1.3,10.07,4.7,3.2,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_02,NA,NA,,18,monoc,NA,35,55,1.3,9.95,5.21,4.7,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_02,NA,NA,,20,monoc,NA,37,55,2.4,11.12,3.91,3.2,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_02,NA,NA,,22,monoc,NA,35,55,2.4,12.09,4.3,4.7,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_02,NA,NA,,24,monoc,NA,43,55,2.4,12.31,4.03,3.2,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_02,NA,NA,,26,monoc,NA,37,55,2.4,13,6.62,4.7,NA,NA,NA,brazil,tac_i
Salomao1995-pg,Salomao,Salomao1995,"Salomao, S. R. & Ventura, D. F. (1995). Large sample population age norms for visual acuities obtained with Vistech-Teller Acuity Cards. Investigative Ophthalmology & Visual Science, 36(3), 657–670.",NA,NA,,table_02,NA,NA,,28,monoc,NA,42,55,2.4,12.79,5.61,4.7,NA,NA,NA,brazil,tac_i
